<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240205;095933;7114.000000000;2;9523274155;S
20240205;095933;7114.000000000;3;9523274156;S
20240205;095933;7114.000000000;1;9523274157;S
20240205;095933;7114.000000000;3;9523274158;S
20240205;095933;7114.000000000;1;9523274159;S
20240205;095933;7114.000000000;1;9523274160;B
20240205;095933;7114.000000000;3;9523274161;B
20240205;095933;7114.000000000;3;9523274162;B
20240205;095933;7114.000000000;7;9523274163;B
20240205;095933;7114.000000000;7;9523274164;B
20240205;095933;7114.000000000;1;9523274165;B
20240205;095933;7114.000000000;18;9523274166;B
20240205;095933;7114.000000000;1;9523274167;B
20240205;095933;7114.000000000;20;9523274168;B
20240205;095933;7114.000000000;61;9523274169;S
20240205;095933;7114.000000000;35;9523274170;S
20240205;095933;7114.000000000;1;9523274171;S
20240205;095933;7114.000000000;2;9523274172;S
20240205;095933;7114.000000000;1;9523274173;S
20240205;095933;7114.000000000;4;9523274174;S
20240205;095933;7114.000000000;5;9523274175;S
20240205;095933;7114.000000000;1;9523274176;S
20240205;095933;7114.000000000;20;9523274177;S
20240205;095933;7114.000000000;2;9523274178;S
20240205;095933;7114.000000000;2;9523274179;S
20240205;095933;7114.000000000;1;9523274180;S
20240205;095933;7114.000000000;5;9523274181;S
20240205;095933;7114.000000000;17;9523274182;S
20240205;095933;7114.000000000;1;9523274183;S
20240205;095933;7114.000000000;7;9523274184;S
20240205;095933;7114.000000000;5;9523274185;S
20240205;095933;7114.000000000;3;9523274186;S
20240205;095933;7114.000000000;1;9523274187;S
20240205;095933;7114.000000000;6;9523274188;S
20240205;095933;7114.000000000;1;9523274189;B
20240205;095933;7114.000000000;1;9523274190;S
20240205;095933;7114.000000000;5;9523274191;S
20240205;095933;7114.000000000;5;9523274192;S
20240205;095933;7114.000000000;1;9523274193;S
20240205;095933;7114.000000000;5;9523274194;S
20240205;095933;7114.000000000;3;9523274195;S
20240205;100000;7114.500000000;1;9523283916;S
20240205;100000;7114.000000000;16;9523283933;S
20240205;100000;7114.500000000;1;9523284021;B
20240205;100000;7114.500000000;1;9523284022;B
20240205;100000;7114.500000000;1;9523284030;B
20240205;100000;7114.500000000;2;9523284043;B
20240205;100000;7114.500000000;1;9523284045;B
20240205;100000;7114.500000000;1;9523284066;B
20240205;100000;7114.500000000;1;9523284067;B
20240205;100000;7114.500000000;1;9523284076;B
20240205;100000;7114.500000000;2;9523284077;B
20240205;100000;7114.500000000;1;9523284085;B
20240205;100000;7114.500000000;1;9523284088;B
